Olympus E-PL6,Olympus/E-PL6/e7169440.orf,E-PL6,200,1.180,2.276,1.264
Olympus E-PL7,Olympus/E-PL7/fb240007.orf,E-PL7,200,1.901,3.508,2.087
Olympus E-PL8,Olympus/E-PL8/P9110021.ORF,E-PL8,200,2.664,3.032,2.035
Olympus E-PL9,Olympus/E-PL9/EB000005.ORF,E-PL9,200,2.382,3.298,2.132
Olympus E-PM1,Olympus/E-PM1/P2083783.ORF,E-PM1,200,2.453,3.367,2.654
Olympus E-PM2,Olympus/E-PM2/P1010001.ORF,E-PM2,200,6.063,10.644,nan
Olympus PEN-F,Olympus/PEN-F/PenFHiRes.orf,PEN-F,200,2.198,2.211,1.149
Olympus TG-4,Olympus/TG-4/P1170373.ORF,TG-4,100,1.724,2.578,2.010
Olympus TG-5,Olympus/TG-5/P9100007.ORF,TG-5,100,2.702,4.139,2.567
Olympus TG-6,Olympus/TG-6/_6100003.ORF,TG-6,100,2.851,3.232,2.838
Olympus XZ-1,Olympus/XZ-1/p1319978.orf,XZ-1,100,2.447,2.827,nan
Olympus XZ-2,Olympus/XZ-2/p7166537.orf,XZ-2,100,2.226,3.454,2.375
Panasonic DC-FZ10002,Panasonic/DC-FZ10002/P1015595.RW2,DC-FZ10002,320,2.025,3.461,2.385
Panasonic DC-G9,Panasonic/DC-G9/P1000475.RW2,DC-G9,200,1.182,2.369,1.678
Panasonic DC-G95,Panasonic/DC-G95/_1000563.RW2,DC-G95,200,2.110,3.612,2.261
Panasonic DC-G9M2,Panasonic/DC-G9M2/P1000019.RW2,DC-G9M2,100,2.184,4.213,2.969
Panasonic DC-GH5,Panasonic/DC-GH5/_T012010.RW2,DC-GH5,400,2.334,4.530,3.069
Panasonic DC-GX9,Panasonic/DC-GX9/gx9_16_9.RW2,DC-GX9,200,1.957,3.086,2.265
Panasonic DC-LX100M2,Panasonic/DC-LX100M2/P1020077.RW2,DC-LX100M2,200,2.375,3.912,2.573
Panasonic DC-S1R,Panasonic/DC-S1R/P1000077.RW2,DC-S1R,100,2.266,3.990,2.481
Panasonic DC-S5,Panasonic/DC-S5/P1047510.RW2,DC-S5,100,2.047,3.407,1.728
Panasonic DC-TZ90,Panasonic/DC-TZ90/P1010053.RW2,DC-TZ90,125,2.708,4.308,2.898
Panasonic DC-TZ96,Panasonic/DC-TZ96/TZ96-16:9.RW2,DC-TZ96,80,2.086,3.170,2.416
Panasonic DMC-FZ1000,Panasonic/DMC-FZ1000/Panasonic_FZ1000_16_9.RW2,DMC-FZ1000,640,2.606,3.360,2.469
Panasonic DMC-FZ18,Panasonic/DMC-FZ18/RAW_PANASONIC_LUMIX_FZ18.RAW,DMC-FZ18,100,2.155,3.081,1.925
Panasonic DMC-FZ200,Panasonic/DMC-FZ200/P1040142.RW2,DMC-FZ200,100,2.184,3.152,2.180
Panasonic DMC-FZ300,Panasonic/DMC-FZ300/RAW_PANASONIC_FZ300_1-1.RW2,DMC-FZ300,100,3.001,3.947,1.736
Panasonic DMC-FZ330,Panasonic/DMC-FZ330/_1350161.RW2,DMC-FZ330,100,3.195,4.362,1.858
Panasonic DMC-FZ35,Panasonic/DMC-FZ35/Panasonic_-_DMC-FZ35_-_16:9.RW2,DMC-FZ35,80,2.278,2.985,2.193
Panasonic DMC-G10,Panasonic/DMC-G10/P1030392.RW2,DMC-G10,200,5.548,nan,2.922
Panasonic DMC-G2,Panasonic/DMC-G2/LumixG216x9.RW2,DMC-G2,100,2.253,4.317,nan
Panasonic DMC-G3,Panasonic/DMC-G3/P1350398.RW2,DMC-G3,640,nan,3.620,2.605
Panasonic DMC-G5,Panasonic/DMC-G5/P1020264.RW2,DMC-G5,160,3.030,3.330,nan
Panasonic DMC-G6,Panasonic/DMC-G6/Panasonic_DMC_G6_16x9.RW2,DMC-G6,160,2.117,3.199,2.184
Panasonic DMC-G7,Panasonic/DMC-G7/171122_193305.RW2,DMC-G7,200,2.684,3.359,2.955
Panasonic DMC-GF1,Panasonic/DMC-GF1/panasonic_1-1.RW2,DMC-GF1,100,2.338,3.073,2.327
Panasonic DMC-GF3,Panasonic/DMC-GF3/RAW_PANASONIC_GF3_1-1.RW2,DMC-GF3,160,2.133,3.071,2.510
Panasonic DMC-GF6,Panasonic/DMC-GF6/P1060736_4x3.RW2,DMC-GF6,160,1.955,3.189,2.536
Panasonic DMC-GF7,Panasonic/DMC-GF7/P1040726.RW2,DMC-GF7,200,3.788,8.682,5.044
Panasonic DMC-GH2,Panasonic/DMC-GH2/_1040800.RW2,DMC-GH2,160,1.678,3.573,2.726
Panasonic DMC-GH3,Panasonic/DMC-GH3/P1090819.RW2,DMC-GH3,400,1.903,3.065,2.189
Panasonic DMC-GH4,Panasonic/DMC-GH4/P1010607.RW2,DMC-GH4,400,2.349,3.126,1.639
